ingredient,emissions
salad leaves,1609
salmon,4787
salt,1133
sausage,6628
chorizo,6628
sardines,4220
scallops,3036
scones,3064
sea bass,4362
seabass,4362
seaweed,3036
sesameseed oil,4200
shallot,1051
sherry,1369
shrimp,17746
soy sauce,222
shoyu,222
soybean oil,1583
soybeans,2000
edamame,2000
spagheti bolognese - ready meal,11667
spaghetti,1374
spinach,1457
spring onion,1051
scallion,1051
squash,1162
squid,3036
calamari,3036
steak,43330
stir fry sauce,222
stock,222
dashi,222
strawberry,2243
strawerries - frozen,2334
sugar,656
sunflower oil,2545
sunflower seeds,848
swedes,678
sweet potato,1273
sweetcorn - canned,2605
sweetcorn - on the cob,1576
tagliatelle,1374
tahini,852
tamari,222
tarragon,1374
tapioca starch,594
tempeh,1093
tequila,2320
thyme,1133
toffee,2412
tofu,3160
tomatoe,2905
tomato,2095
tomato pureé,4749
tortilla,1081
treacle,656
trout,4220
tuna,10165
turkey,6448
turmeric,1133
turnips,678
valess,5008
vanilla,656
veal,18938
vegetable oil,3200
venison,20986
vinegar,222
vodka,2320
walnut,2129
watercress,1609
wheat,718
whiskey,2320
bourbon,2320
whiting,4362
wine,1369
sauvignon blanc,1369
sake,1369
worcestershire sauce,222
yogurt,2200
snails,732
escargot,732
yeast,0
yuzu,1100
tabasco sauce,222
waffles,2446
kosher salt,1133
lobster tails,17746
extra virgin olive oil,25263
confectioners,656
granulated sugar,656
egg whites,4506
dark rum,2320
coarse salt,1133
pork chop,6628
baby back ribs,43330
smoked paprika,1133
beef tenderloin,43330
beef mince,43330
dijon mustard,222
egg yolk,4506
russet potatoes,1273
all purpose flour,891
galangal,1133
toasted sesame oil,4200
duckling,5054
granny smith,900
yukon gold,1273
zucchini,861
safflower oil,2545
shoulder roast,43330
hot dog buns,1215
balsamic vinegar,222
ricotta,6440
cannoli shells,6579
andouille sausage,6628
parsely,1133
ramen noodles 1374
mozzarella cheese,8787
grapeseed oil,2404
cooked chicken breast,9870
powdered sugar,656
bittersweet chocolate,5763
ricotta,6440
cannoli shells,6579
mozzarella cheese,8787
grapeseed oil,2404
cooked chicken breast,9870
cherry tomatoes,2905
red bell pepper,1133
fresh dill,1133
cracked pepper,1133
monterey jack,8787
sourdough,6579
filet mignon,43330
cognac,2320
beef broth,1085
pecorino romano,8787
crabmeat,17746
old bay seasoning,1133
tomato purée,4749
nori,3036
harissa,1535
ketchup,222
lavender,605
cupcakes,1215
pound cake,1215
hollandaise sauce,9758
ajwain,1133
agave,656
bok choy,622
figs,192
mung bean sprouts,428
soup mix,428
foie gras,5054
